name bvmulCountT bvsdivCountT bvsremCountT opCountT bvmulCountD bvsdivCountD bvsremCountD opCountD
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_6279.smt2 4 0 0 848 1 0 0 130
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_10305.smt2 229 0 0 24582 31 0 0 825
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_5987.smt2 474380793006533 0 0 33364782441501295 1 0 0 2365
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app2/bench_746.smt2 5193 232 0 381409914 17 18 0 8115
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app9/bench_651.smt2 7 0 0 1515 1 0 0 453
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_16490.smt2 127 0 0 22308 47 0 0 1905
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app5/bench_978.smt2 2 83 0 747 2 28 0 218
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_7263.smt2 22 0 0 1415 10 0 0 219
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_6332.smt2 134027086 0 0 9426575415 1 0 0 1031
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_2693.smt2 2114 0 0 125603 127 0 0 2538
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app1/bench_373.smt2 24 0 0 10587 5 0 0 2278
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_5867.smt2 277487837261930493 0 0 19516644554317662817 1 0 0 3091
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_3095.smt2 228377923041944033001446770165535342947204208759277131736912633393137182343749963625853326991101449 0 0 16062580587235393783909582300138306882659390821118804923172455684904518258268345018268280346305909747 1 0 0 30366
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_3188.smt2 228377707517237157678508333045730694282480431128941187391157144455577104094011593076598486657994192 0 0 16062565428664343598164473349760422211691254646344032568107246318280715200518219280089037705142281063 1 0 0 29510
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app1/bench_782.smt2 2 1 0 53 2 1 0 37
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_14600.smt2 6513 0 0 185312 145 0 0 8828
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_8450.smt2 45 0 0 235953461 4 0 0 243
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app1/bench_1270.smt2 44 0 0 9316963 5 0 0 3264
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app9/bench_2587.smt2 29 0 0 3755 1 0 0 1040
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_3105.smt2 228377923041944033001446770165535342947204201001018456103350287954005357395305884633219189349879305 0 0 16062580587235393783909582300138306882659390275454611405242627673080317990108890062752471578883574658 1 0 0 30310
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_4045.smt2 273 0 0 112190 16 0 0 902
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_8433.smt2 497 0 0 2920252167 5 0 0 277
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_2165.smt2 53438317974372528340107369320724356145443320204936601210457662503533761619662174622778133364387179515848054812888862163508569808452445736706161239098955497277209517 0 0 3758495030852968854987775400341309711548253014633630596250522135183966821348236518208898908672293533680427580501669379561185779032350197476652352318961638621207409257 1 0 0 38579
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_8542.smt2 846 0 0 85521 82 0 0 2335
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_6294.smt2 658315489 0 0 46301528379 1 0 0 1144
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app1/bench_1009.smt2 39 0 0 1204 20 0 0 577
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_5500.smt2 22 0 0 1440 11 0 0 221
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_2510.smt2 58493315178014426437683398809375765923111853625293561251745542972885904461128895983898519289710302709964012922321401 0 0 4114029834174719834734115316544427936897763951969930309132514455976525835933135987020574546610246722930360236900396370 1 0 0 34273
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app1/bench_1962.smt2 45 0 0 3147922 5 0 0 3082
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_4729.smt2 228377707517205849823393667539249522614303786773445248532425868967419876285130412923414049586665948 0 0 16062565428662141612354748456464091171896502295506482663120001418423121650464261608255462739259189346 1 0 0 21001
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_4844.smt2 228377707517205849823393667539249522614303786773445237828068173653160859439986684879543167874836848 0 0 16062565428662141612354748456464091171896502295506481910246843516903540751379273416967849897610385357 1 0 0 19788
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app12/bench_5438.smt2 0 2 0 278 0 1 0 129
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app1/bench_1964.smt2 44 0 0 3139209 5 0 0 3075
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app9/bench_792.smt2 211 0 0 29027 11 0 0 2443
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app7/bench_5712.smt2 2291510590413941705376523774053269 0 0 161169578194358777947052657286047626 1 0 0 4605
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_14594.smt2 190 0 0 6255 40 0 0 646
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_7328.smt2 2584 0 0 140469 139 0 0 2593
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app9/bench_291.smt2 207 0 0 6255 11 0 0 1383
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_11587.smt2 4 0 0 848 1 0 0 130
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/Sage2/bench_8204.smt2 3937 0 0 25989 72 0 0 2058
/raid/steuber/Benchmarks/srem_sdiv_mul/QF_BV/sage/app2/bench_1398.smt2 63 3 0 42590 4 3 0 1766
